District,Percentage
Nyarugenge,81.50
Gasabo,85.50
Kicukiro,81.00
Nyanza,66.10
Gisagara,49.00
Nyaruguru,33.30
Huye,58.60
Nyamagabe,43.80
Ruhango,49.50
Muhanga,90.90
Kamonyi,79.30
Karongi,62.50
Rutsiro,80.30
Rubavu,47.80
Nyabihu,56.00
Ngororero,67.70
Rusizi,72.70
Nyamasheke,79.40
Rulindo,67.60
Gakenke,70.60
Musanze,50.30
Burera,72.70
Gicumbi,54.40
Rwamagana,76.30
Nyagatare,65.70
Gatsibo,70.00
Kayonza,72.80
Kirehe,78.50
Ngoma,78.20
Bugesera,74.30
